X,Y,Theta
46.59,62.35,74.24
46.63,62.28,74.36
46.68,62.2,74.48
46.72,62.13,74.6
46.77,62.05,74.72
46.81,61.98,74.84
46.86,61.9,74.96
46.9,61.83,75.08
46.95,61.75,75.2
46.99,61.68,75.32
47.04,61.6,75.44
47.08,61.53,75.56
47.13,61.45,75.68
47.17,61.38,75.8
47.22,61.3,75.92
47.26,61.23,76.04
47.31,61.15,76.16
47.35,61.08,76.28
47.4,61,76.4
47.44,60.93,76.52
47.49,60.85,76.64
47.53,60.78,76.76
47.58,60.7,76.88
47.62,60.63,77
47.67,60.55,77.12
47.71,60.48,77.24
47.76,60.4,77.36
47.8,60.33,77.48
47.85,60.25,77.6
47.89,60.18,77.72
47.94,60.1,77.84
47.98,60.03,77.96
48.05,59.95,78.07
48.13,59.87,78.18
48.2,59.8,78.28
48.28,59.72,78.39
48.35,59.65,78.49
48.43,59.57,78.6
48.5,59.5,78.7
48.58,59.42,78.81
48.65,59.35,78.91
48.73,59.27,79.02
48.8,59.2,79.12
48.88,59.12,79.23
48.95,59.05,79.33
49.03,58.97,79.44
49.1,58.9,79.54
49.18,58.82,79.65
49.25,58.75,79.75
49.33,58.67,79.86
49.4,58.6,79.96
49.48,58.52,80.07
49.55,58.45,80.17
49.63,58.37,80.28
49.7,58.3,80.38
49.78,58.22,80.49
49.85,58.15,80.59
49.93,58.07,80.7
50,58,80.8
50.08,57.92,80.91
50.15,57.85,81.01
50.23,57.77,81.12
50.3,57.7,81.22
50.38,57.62,81.33
50.45,57.55,81.43
50.53,57.47,81.54
50.6,57.4,81.64
50.68,57.32,81.75
50.75,57.25,81.85
50.83,57.17,81.96
50.9,57.1,82.06
50.98,57.02,82.17
51.05,56.95,82.27
51.13,56.87,82.38
51.2,56.8,82.48
51.28,56.72,82.59
51.35,56.65,82.69
51.43,56.57,82.8
51.5,56.5,82.9
51.58,56.42,83.01
51.65,56.35,83.11
51.73,56.27,83.22
51.8,56.2,83.32
51.88,56.12,83.43
51.95,56.05,83.53
52.03,55.97,83.64
52.1,55.9,83.74
52.18,55.82,83.85
52.25,55.75,83.95
52.33,55.67,84.06
52.4,55.6,84.16
52.48,55.52,84.27
52.55,55.45,84.37
52.63,55.37,84.48
52.7,55.3,84.58
52.78,55.22,84.69
52.85,55.15,84.79
52.93,55.07,84.9
53,55,85
53.05,54.92,85.12
53.09,54.85,85.24
53.14,54.77,85.36
53.18,54.7,85.48
53.23,54.62,85.6
53.27,54.55,85.72
53.32,54.47,85.84
53.36,54.4,85.96
53.41,54.32,86.08
53.45,54.25,86.2
53.5,54.17,86.32
53.54,54.1,86.44
53.59,54.02,86.56
53.63,53.95,86.68
53.68,53.87,86.8
53.72,53.8,86.92
53.77,53.72,87.05
53.81,53.65,87.17
53.86,53.57,87.29
53.9,53.5,87.41
53.95,53.42,87.53
53.99,53.35,87.65
54.04,53.27,87.77
54.08,53.2,87.89
54.13,53.12,88.01
54.17,53.05,88.13
54.22,52.97,88.25
54.26,52.9,88.37
54.31,52.82,88.49
54.35,52.75,88.61
54.4,52.67,88.73
54.44,52.6,88.85
54.49,52.52,88.97
54.53,52.45,89.09
54.58,52.37,89.21
54.62,52.3,89.33
54.67,52.22,89.45
54.71,52.15,89.57
54.76,52.07,89.69
54.8,52,89.81
54.85,51.92,89.93
54.89,51.85,90.05
54.94,51.77,90.17
54.98,51.7,90.29
55.03,51.62,90.41
55.07,51.55,90.53
55.12,51.47,90.65
55.16,51.4,90.77
55.21,51.32,90.89
55.25,51.25,91.01
55.3,51.17,91.13
55.34,51.1,91.25
55.39,51.02,91.37
55.43,50.95,91.49
55.48,50.87,91.61
55.52,50.8,91.73
55.57,50.72,91.85
55.61,50.65,91.97
55.66,50.57,92.09
55.7,50.5,92.21
55.75,50.42,92.33
55.79,50.35,92.45
55.84,50.27,92.57
55.88,50.2,92.69
55.93,50.12,92.81
55.97,50.05,92.93
56.01,49.97,93.04
56.04,49.89,93.15
56.07,49.82,93.25
56.1,49.74,93.36
56.13,49.67,93.46
56.16,49.59,93.57
56.19,49.52,93.67
56.22,49.44,93.78
56.25,49.37,93.88
56.28,49.29,93.99
56.31,49.22,94.09
56.34,49.14,94.2
56.37,49.07,94.3
56.4,48.99,94.41
56.43,48.92,94.51
56.46,48.84,94.62
56.49,48.77,94.72
56.52,48.69,94.83
56.55,48.62,94.93
56.58,48.54,95.04
56.61,48.47,95.14
56.64,48.39,95.25
56.67,48.32,95.35
56.7,48.24,95.46
56.73,48.17,95.56
56.76,48.09,95.67
56.79,48.02,95.77
56.82,47.94,95.88
56.85,47.87,95.98
56.88,47.79,96.09
56.91,47.72,96.19
56.94,47.64,96.3
56.97,47.57,96.4
57,47.49,96.51
57.03,47.42,96.61
57.06,47.34,96.72
57.09,47.27,96.82
57.12,47.19,96.93
57.15,47.12,97.03
57.18,47.04,97.14
57.21,46.97,97.24
57.24,46.89,97.35
57.27,46.82,97.45
57.3,46.74,97.56
57.33,46.67,97.66
57.36,46.59,97.77
57.39,46.52,97.87
57.42,46.44,97.98
57.45,46.37,98.08
57.48,46.29,98.19
57.51,46.22,98.29
57.54,46.14,98.4
57.57,46.07,98.5
57.6,45.99,98.61
57.63,45.92,98.71
57.66,45.84,98.82
57.69,45.77,98.92
57.72,45.69,99.03
57.75,45.62,99.14
57.78,45.54,99.24
57.81,45.47,99.35
57.84,45.39,99.45
57.87,45.32,99.56
57.9,45.24,99.66
57.93,45.17,99.77
57.96,45.09,99.87
57.99,45.02,99.98
58.02,44.94,100.08
58.05,44.87,100.19
58.08,44.79,100.29
58.11,44.72,100.4
58.14,44.64,100.5
58.17,44.57,100.61
58.2,44.49,100.71
58.23,44.42,100.82
58.26,44.34,100.92
58.29,44.27,101.03
58.32,44.19,101.13
58.35,44.12,101.24
58.38,44.04,101.34
58.41,43.97,101.45
58.44,43.89,101.55
58.47,43.82,101.66
58.5,43.74,101.76
58.53,43.67,101.87
