X,Y
45.91,63.48
45.96,63.4
46.0,63.33
46.05,63.25
46.09,63.18
46.14,63.1
46.18,63.03
46.23,62.95
46.27,62.88
46.32,62.8
46.36,62.73
46.41,62.65
46.45,62.58
46.5,62.5
46.54,62.43
46.59,62.35
46.63,62.28
46.68,62.2
46.72,62.13
46.77,62.05
46.81,61.98
46.86,61.9
46.9,61.83
46.95,61.75
46.99,61.68
47.04,61.6
47.08,61.53
47.13,61.45
47.17,61.38
47.22,61.3
47.26,61.23
47.31,61.15
47.35,61.08
47.4,61.0
47.44,60.93
47.49,60.85
47.53,60.78
47.58,60.7
47.62,60.63
47.67,60.55
47.71,60.48
47.76,60.4
47.8,60.33
47.85,60.25
47.89,60.18
47.94,60.1
47.98,60.03
48.05,59.95
48.13,59.87
48.2,59.8
48.28,59.72
48.35,59.65
48.43,59.57
48.5,59.5
48.58,59.42
48.65,59.35
48.73,59.27
48.8,59.2
48.88,59.12
48.95,59.05
49.03,58.97
49.1,58.9
49.18,58.82
49.25,58.75
49.33,58.67
49.4,58.6
49.48,58.52
49.55,58.45
49.63,58.37
49.7,58.3
49.78,58.22
49.85,58.15
49.93,58.07
50.0,58.0
50.08,57.92
50.15,57.85
50.23,57.77
50.3,57.7
50.38,57.62
50.45,57.55
50.53,57.47
50.6,57.4
50.68,57.32
50.75,57.25
50.83,57.17
50.9,57.1
50.98,57.02
51.05,56.95
51.13,56.87
51.2,56.8
51.28,56.72
51.35,56.65
51.43,56.57
51.5,56.5
51.58,56.42
51.65,56.35
51.73,56.27
51.8,56.2
51.88,56.12
51.95,56.05
52.03,55.97
52.1,55.9
52.18,55.82
52.25,55.75
52.33,55.67
52.4,55.6
52.48,55.52
52.55,55.45
52.63,55.37
52.7,55.3
52.78,55.22
52.85,55.15
52.93,55.07
53.0,55.0
53.05,54.92
53.09,54.85
53.14,54.77
53.18,54.7
53.23,54.62
53.27,54.55
53.32,54.47
53.36,54.4
53.41,54.32
53.45,54.25
53.5,54.17
53.54,54.1
53.59,54.02
53.63,53.95
53.68,53.87
53.72,53.8
53.77,53.72
53.81,53.65
53.86,53.57
53.9,53.5
53.95,53.42
53.99,53.35
54.04,53.27
54.08,53.2
54.13,53.12
54.17,53.05
54.22,52.97
54.26,52.9
54.31,52.82
54.35,52.75
54.4,52.67
54.44,52.6
54.49,52.52
54.53,52.45
54.58,52.37
54.62,52.3
54.67,52.22
54.71,52.15
54.76,52.07
54.8,52.0
54.85,51.92
54.89,51.85
54.94,51.77
54.98,51.7
55.03,51.62
55.07,51.55
55.12,51.47
55.16,51.4
55.21,51.32
55.25,51.25
55.3,51.17
55.34,51.1
55.39,51.02
55.43,50.95
55.48,50.87
55.52,50.8
55.57,50.72
55.61,50.65
55.66,50.57
55.7,50.5
55.75,50.42
55.79,50.35
55.84,50.27
55.88,50.2
55.93,50.12
55.97,50.05
56.01,49.97
56.04,49.89
56.07,49.82
56.1,49.74
56.13,49.67
56.16,49.59
56.19,49.52
56.22,49.44
56.25,49.37
56.28,49.29
56.31,49.22
56.34,49.14
56.37,49.07
56.4,48.99
56.43,48.92
56.46,48.84
56.49,48.77
56.52,48.69
56.55,48.62
56.58,48.54
56.61,48.47
56.64,48.39
56.67,48.32
56.7,48.24
56.73,48.17
56.76,48.09
56.79,48.02
56.82,47.94
56.85,47.87
56.88,47.79
56.91,47.72
56.94,47.64
56.97,47.57
57.0,47.49
57.03,47.42
57.06,47.34
57.09,47.27
57.12,47.19
57.15,47.12
57.18,47.04
57.21,46.97
57.24,46.89
57.27,46.82
57.3,46.74
57.33,46.67
57.36,46.59
57.39,46.52
57.42,46.44
57.45,46.37
57.48,46.29
57.51,46.22
57.54,46.14
57.57,46.07
57.6,45.99
57.63,45.92
57.66,45.84
57.69,45.77
57.72,45.69
57.75,45.62
57.78,45.54
57.81,45.47
57.84,45.39
57.87,45.32
57.9,45.24
57.93,45.17
57.96,45.09
57.99,45.02
58.02,44.94
58.05,44.87
58.08,44.79
58.11,44.72
58.14,44.64
58.17,44.57
58.2,44.49
58.23,44.42
58.26,44.34
58.29,44.27
58.32,44.19
58.35,44.12
58.38,44.04
58.41,43.97
58.44,43.89
58.47,43.82
58.5,43.74
58.53,43.67
58.56,43.59
58.59,43.52
58.62,43.44
58.65,43.37
58.68,43.29
58.71,43.22
58.74,43.14
58.77,43.07
58.8,42.99
58.83,42.92
58.86,42.84
58.89,42.77
58.92,42.69
58.95,42.62
58.98,42.54
59.01,42.47
59.04,42.39
59.07,42.32
59.1,42.24
59.13,42.17
59.16,42.09
59.19,42.02
59.22,41.94
59.25,41.87
59.28,41.79
59.31,41.72
59.34,41.64
59.37,41.57
59.4,41.49
59.43,41.42
59.46,41.34
59.49,41.27
59.52,41.19
59.55,41.12
